account_code,account_name,category,business_unit,geography,product_line,period,value,currency
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,1142019.15,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,31970104.2,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,14824869.22,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,7239421.51,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,18400039.51,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,8362221.61,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,4821483.84,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,5968303.76,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,4280897.86,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,2951561.54,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,1908562.81,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-11,1161101.08,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,30629667.52,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,15768663.74,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,6547814.66,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,18113443.34,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,7498638.73,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,4641481.4,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,6887869.44,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,4115363.31,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,3009244.36,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,1709272.41,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-12,1029867.54,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,38569146.73,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,16588023.88,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,7390858.8,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,21631565.44,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,4534832.13,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,5221164.47,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,6740875.89,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,4717508.21,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,3198337.92,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,2026234.14,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-01,541343.2,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,42266403.43,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,18400559.2,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,7624522.94,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,20004124.5,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,8887985.51,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,5162753.32,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,6621699.66,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,4724459.5,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,3085795.67,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,2069269.37,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-02,2021112.11,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,43379819.04,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,20943727.41,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,8150244.76,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,22258131.36,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,9456937.68,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,5694388.81,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,7902686.77,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,4848363.66,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,3756489.64,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,1839677.07,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-03,1359657.26,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,29570006.1,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,14979657.06,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,7044842.23,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,18847298.89,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,7419721.72,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,4334701.37,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,5755713.57,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,4011612.96,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,2614655.34,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,1779213.63,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-04,1187571.47,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,36517766.22,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,7949066.58,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,7638360.12,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,16677788.92,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,8245846.82,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,4886709.94,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,5894132.76,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,3813025.71,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,2847487.27,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,1816212.75,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-05,1211286.84,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,36924441.75,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,16191972.08,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,7309703.65,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,19185242.0,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,7408133.88,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,4689178.36,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,6996291.03,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,4236000.43,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,2843082.5,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,1566149.18,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-06,1338197.87,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,29662272.16,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,16231863.18,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,7078105.03,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,18026069.9,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,7141275.41,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,4106972.61,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,6252865.2,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,4098856.11,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,2601448.61,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,1643314.43,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-07,1148633.88,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,32973285.01,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,15369254.15,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,6845620.3,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,18407009.98,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,8799838.85,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,4493084.54,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,6175077.08,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,3735288.16,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,2849543.26,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,851151.95,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-08,593668.0,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,38393346.33,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,14764751.49,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,6668694.57,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,21426915.38,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,8746770.61,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,5079071.51,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,7225534.51,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,3369302.52,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,2843702.83,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,1995408.06,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-09,1150800.7,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,38279606.55,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,18658131.41,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,7534797.49,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,19326218.02,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,9226389.75,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,5778365.27,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,6962791.83,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,4524253.29,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,2971341.5,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,1921963.78,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-10,1243386.85,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,41131001.64,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,17758332.22,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,8275981.08,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,21824788.6,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,8743119.17,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,5016623.08,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,6507830.74,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,4279667.49,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,3287221.54,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,1953763.97,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-11,1425273.52,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,41325810.45,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,17801804.97,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,7742024.59,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,20442926.97,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,10192980.7,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,4796410.79,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,7419701.37,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,4366335.38,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,2895013.15,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,1663092.06,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2024-12,1258728.07,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,40649964.67,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,20014316.39,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,8297066.07,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,20345927.43,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,9883702.56,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,5287207.87,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,7530673.95,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,4972301.77,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,3493032.11,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2025-01,2144535.58,INR
